313,95
409,227
329,271
405,195
309,151
273,123
411,226
287,149
390,172
298,149
276,118
282,153
400,289
393,302
350,314
363,152
284,106
397,177
362,320
408,217
295,90
275,140
408,257
409,210
299,86
351,148
404,274
384,303
378,168
372,313
360,154
315,203
409,218
333,122
411,224
289,98
238,49
323,76
284,86
387,391
336,435
375,66
304,439
367,397
404,186
309,440
366,401
369,398
303,444
269,102
277,68
365,105
407,259
322,106
324,424
360,76
317,121
329,404
386,360
357,399
403,355
275,120
257,66
348,420
269,104
412,259
266,94
325,71
322,105
343,436
389,394
391,391
338,439
379,181
350,433
396,389
234,56
375,394
316,437
308,87
261,73
368,56
411,199
397,387
350,432
405,232
372,313
264,119
420,279
326,262
410,321
334,63
334,78
372,383
309,426
344,58
393,390
345,434
398,295
278,101
261,57
313,430
374,387
262,78
242,65
416,319
381,381
406,354
363,398
351,108
325,85
323,404
384,359
401,298
364,77
399,179
386,310
339,263
247,68
322,71
384,218
386,334
312,300
355,422
399,379
399,379
355,422
261,54
311,129
391,318
394,313
395,308
272,102
328,77
369,56
271,102
328,100
349,434
393,392
345,437
395,390
269,101
377,171
401,374
357,418
355,116
290,86
394,379
346,423
313,80
329,75
332,363
394,291
388,302
394,381
346,424
346,424
394,381
261,52
384,361
324,406
344,435
389,394
392,391
339,439
306,439
370,395
235,58
235,58
363,73
346,63
345,75
407,277
283,144
354,79
245,70
231,71
255,62
344,100
274,92
361,82
269,72
405,211
346,313
405,215
307,126
378,378
318,421
260,57
321,69
277,68
323,92
272,74
235,68
418,251
266,99
330,77
269,95
322,84
415,284
306,439
369,395
395,328
386,259
360,76
383,179
327,106
316,81
260,77
415,324
377,384
319,427
360,68
360,68
329,304
295,140
252,77
301,260
369,362
272,154
416,299
349,175
359,66
357,62
334,63
258,74
271,103
235,69
242,60
392,385
344,430
314,440
370,399
310,442
373,397
357,68
357,67
237,49
360,75
354,71
260,57
244,68
370,392
308,435
409,328
251,76
394,381
346,424
324,71
266,78
268,103
258,66
253,66
385,306
261,53
332,162
322,69
343,68
251,69
376,65
282,89
231,60
358,83
369,72
339,68
275,71
324,366
346,81
373,65
397,378
352,422
373,385
312,428
360,397
404,353
251,70
342,363
337,80
350,106
324,71
349,303
350,70
357,62
368,72
321,405
382,361
249,72
249,64
405,293
230,65
256,68
344,168
259,141
327,75
321,105
426,219
395,376
346,420
371,75
241,61
389,391
339,435
374,69
266,74
253,66
324,71
345,73
345,63
234,58
234,58
346,79
415,313
368,56
270,76
411,217
335,125
255,62
365,79
262,57
276,107
398,376
352,419
346,424
393,381
330,75
408,284
337,109
225,62
412,227
363,82
397,373
349,417
376,72
330,79
317,92
301,145
275,71
325,71
339,108
342,69
358,415
402,371
398,371
352,415
392,391
344,434
362,79
428,265
284,96
323,111
379,293
324,367
413,223
259,125
382,313
333,301
353,80
399,379
355,422
377,382
319,425
260,78
260,57
345,58
412,224
330,83
357,62
344,365
232,55
398,311
341,74
424,283
262,73
262,64
361,74
327,77
385,288
246,69
315,309
374,64
368,360
261,54
270,79
408,224
261,53
349,63
347,85
398,375
354,419
374,387
313,430
253,73
370,304
420,308
292,124
408,222
378,360
423,288
271,108
330,100
372,266
255,68
370,397
311,439
381,377
324,420
314,423
375,379
238,65
290,103
277,68
331,76
276,146
296,90
275,74
230,62
381,377
323,421
244,73
407,228
377,72
284,104
389,286
274,71
322,429
379,385
379,382
321,425
293,106
358,66
250,69
352,69
278,122
406,216
326,79
237,49
384,319
251,73
355,63
354,63
263,57
241,68
277,68
321,69
323,77
227,60
374,395
316,438
334,63
236,65
378,381
318,425
367,212
271,103
257,72
296,139
388,173
322,71
373,75
382,294
360,73
361,81
364,397
407,353
236,63
261,54
260,63
390,302
253,68
276,97
265,74
375,357
356,78
329,403
386,359
400,377
356,420
376,384
317,428
234,55
259,75
382,357
329,75
242,64
232,63
244,76
373,70
323,92
231,56
357,77
238,64
253,66
384,167
344,58
358,306
322,69
366,76
365,113
335,82
255,68
379,385
322,429
348,83
389,334
394,385
346,429
357,76
348,63
260,63
239,67
368,56
234,62
233,62
338,436
386,394
334,439
388,392
372,391
310,435
334,63
363,77
329,107
325,76
241,60
261,54
263,57
298,180
381,303
293,151
334,367
375,261
356,85
332,141
380,306
231,62
231,62
396,378
349,422
386,331
335,82
281,79
268,103
410,184
245,67
427,258
409,325
343,433
392,388
398,286
270,80
317,97
272,73
321,101
368,251
361,75
333,79
275,88
324,71
253,66
360,66
401,371
357,414
264,126
412,216
377,313
412,212
333,77
250,73
347,99
280,93
356,70
366,80
364,80
246,71
314,142
402,277
241,70
263,57
257,63
354,63
354,63
342,433
392,388
308,440
365,401
369,398
302,444
403,356
358,399
344,58
379,385
322,429
322,429
379,385
411,300
413,290
383,356
277,72
278,77
380,384
322,427
311,87
280,108
375,383
315,425
319,169
320,104
304,440
363,401
299,443
365,399
287,97
319,104
237,49
253,73
315,104
409,314
412,310
413,306
351,134
357,62
314,430
374,387
374,387
313,430
393,304
411,328
425,222
255,68
339,72
416,263
420,304
358,173
260,66
330,298
365,396
407,352
275,82
283,100
381,362
318,406
395,377
390,326
340,68
330,82
355,422
399,379
361,66
308,102
369,296
370,397
309,439
261,52
400,375
354,419
258,74
242,61
397,324
407,263
374,282
291,118
353,313
301,236
365,397
300,439
399,197
